subj_idx,trial,response,rt
15,X9,1,9.039670668
15,X10,0,8.386628821
15,X11,0,7.814399634
15,X12,1,7.959974528
15,X13,0,8.121183242
15,X14,0,7.028201432
15,X15,0,8.287025025
15,X16,1,7.930565854
15,X17,1,8.193953024
15,X18,1,7.821643126
15,X19,0,8.122074375
15,X20,1,7.724888439
15,X21,0,7.479299638
15,X22,1,7.554858521
15,X23,0,7.77317368
15,X24,0,7.794823152
15,X25,0,8.174421153
15,X26,1,7.441906728
15,X27,0,8.983816113
15,X28,1,8.356319966
15,X29,0,7.988203597
15,X30,0,7.515344571
15,X31,1,8.009363077
15,X32,1,8.235890726
15,X33,1,7.973155433
15,X34,1,7.748460024
15,X35,1,7.600402335
15,X36,0,7.678788998
15,X37,1,7.591357047
15,X38,1,7.879669915
15,X39,1,7.703459048
15,X40,1,7.993619995
16,X1,0,8.935508712
16,X2,1,8.510571315
16,X3,0,9.039314775
16,X4,1,8.04494705
16,X5,0,8.529911964
16,X6,0,8.33710913
16,X7,1,8.59858883
16,X8,0,7.812378206
16,X9,0,7.648739789
16,X10,1,7.71154898
16,X11,1,8.040446881
16,X12,1,8.223090551
16,X13,1,8.432724035
16,X14,0,8.494129252
16,X15,1,7.720461695
16,X16,0,8.400659375
16,X17,1,8.303999971
16,X18,1,8.13739583
16,X19,0,7.765569081
16,X20,0,8.840435439
16,X21,1,7.978653729
16,X22,0,9.032648084
16,X23,0,8.33062262
16,X24,1,7.201916318
16,X25,0,7.878155337
16,X26,0,8.440096141
16,X27,1,7.922261058
16,X28,0,8.234299636
16,X29,0,7.571988449
16,X30,0,7.932721027
16,X31,0,8.599878558
16,X32,1,8.928640371
16,X33,0,8.991313336
16,X34,1,7.845807503
16,X35,1,7.910590612
16,X36,1,8.668368019
16,X37,0,8.739216115
16,X38,1,7.791522819
16,X39,0,7.859413155
16,X40,1,8.92385758
17,X1,0,8.719153963
17,X2,0,8.862058677
17,X3,0,9.548881895
17,X4,1,8.32651683
17,X5,0,8.714731714
17,X6,0,8.576216532
17,X7,0,8.351374707
17,X8,1,8.822027323
17,X9,1,8.388450316
17,X10,0,8.269244521
17,X11,1,8.158229917
17,X12,0,7.824046011
17,X13,0,7.977625099
17,X14,0,7.889459149
17,X15,0,8.167635715
17,X16,0,8.681350778
17,X17,1,8.104401308
17,X18,1,7.901377354
17,X19,1,7.840312983
17,X20,0,8.192293731
