subj_idx,trial,response,rt
132,X3,0,8.106816039
132,X4,0,8.628555659
132,X5,1,8.756210092
132,X6,0,8.404248432
132,X7,1,8.077136639
132,X8,1,8.121183242
132,X9,1,8.178638789
132,X10,1,7.892452044
132,X11,1,8.401108712
132,X12,1,8.291295852
132,X13,0,9.478533768
132,X14,0,8.370315996
132,X15,1,8.377701213
132,X16,1,8.020927719
132,X17,0,8.011023379
132,X18,1,8.146998697
132,X19,0,7.92732436
132,X20,1,9.214631153
132,X21,0,8.203304027
132,X22,1,8.165079259
132,X23,0,8.678801707
132,X24,1,8.24196656
132,X25,1,8.23350314
132,X26,1,8.146709052
132,X27,0,8.358900612
132,X28,1,8.104401308
132,X29,0,8.082093278
132,X30,0,7.823645931
132,X31,1,8.429672594
132,X32,0,8.609407675
132,X33,1,8.808070155
132,X34,0,8.041091004
132,X35,0,7.506042179
132,X36,0,8.853236765
132,X37,1,8.203304027
132,X38,1,7.791935957
132,X39,1,7.826842098
132,X40,0,7.53689713
133,X1,0,8.648747631
133,X2,1,7.548555979
133,X3,0,8.271292653
133,X4,1,7.38274645
133,X5,1,7.655864018
133,X6,0,8.43511508
133,X7,1,7.825644732
133,X8,0,8.633018757
133,X9,0,8.618485443
133,X10,0,8.135932772
133,X11,1,8.455955882
133,X12,1,9.045347797
133,X13,0,7.856319571
133,X14,1,8.149601736
133,X15,0,8.493105396
133,X16,1,8.292298107
133,X17,0,8.510168576
133,X18,0,8.210668031
133,X19,0,8.118802997
133,X20,1,7.963460067
133,X21,1,8.481566014
133,X22,1,8.738414897
133,X23,1,8.352554369
133,X24,0,9.436439551
133,X25,0,8.640825752
133,X26,0,7.564238475
133,X27,1,7.955074273
133,X28,1,7.989899375
133,X29,0,7.702556113
133,X30,0,7.490529402
133,X31,0,8.181720455
133,X32,0,7.815207062
133,X33,1,7.913155186
133,X34,0,7.592366129
133,X35,0,8.416930769
133,X36,0,6.856461985
133,X37,0,8.093767758
133,X38,1,8.118207049
133,X39,0,7.069874128
133,X40,1,8.667852068
134,X1,1,8.274102002
134,X2,0,8.521981708
134,X3,0,7.959625305
134,X4,0,8.062747901
134,X5,1,8.292298107
134,X6,1,8.597851094
134,X7,1,8.698847859
134,X8,0,7.694392803
134,X9,0,7.761744985
134,X10,0,8.675563527
134,X11,1,8.500250471
134,X12,0,8.133293861
134,X13,0,7.844240718
134,X14,0,7.781555959
134,X15,0,8.000349495
134,X16,1,7.914252279
134,X17,0,7.652070746
134,X18,1,8.34640487
134,X19,1,7.709756864
134,X20,1,8.142063283
134,X21,0,7.640603826
134,X22,0,8.617038526
134,X23,1,7.546446274
134,X24,0,7.550661243
134,X25,0,7.724888439
134,X26,1,8.058010801
134,X27,0,7.738052298
134,X28,1,7.608870629
134,X29,1,7.426549072
134,X30,1,7.483244416
134,X31,0,7.777792626
134,X32,0,7.011213987
134,X33,0,7.517520851
134,X34,1,7.443663683
134,X35,1,7.216709487
134,X36,0,7.377758908
134,X37,0,7.410951876
134,X38,0,6.766191715
134,X39,1,6.674561392
134,X40,0,6.65544035
