subj_idx,trial,response,rt
258,X22,1,8.073402969
258,X23,1,7.903965634
258,X24,1,9.023046474
258,X25,1,8.625150333
258,X26,1,8.378160983
258,X27,1,8.285513309
258,X28,1,7.727975542
258,X29,1,8.840724917
258,X3,1,8.447843113
258,X30,1,8.247482004
258,X31,0,7.682482447
258,X32,0,8.116715625
258,X33,1,7.454719949
258,X34,1,7.608870629
258,X35,0,7.631916513
258,X36,1,8.269500767
258,X37,0,8.491054534
258,X38,0,8.459352192
258,X39,1,8.559294367
258,X4,0,8.717190933
258,X40,0,9.406318255
258,X5,1,9.235618179
258,X6,1,8.573573525
258,X7,1,9.315690888
258,X8,1,9.039314775
258,X9,0,8.771059915
259,X1,0,8.929700114
259,X10,1,7.647308832
259,X11,1,7.604396349
259,X12,0,7.499423291
259,X13,1,7.850493181
259,X14,1,7.669961995
259,X15,0,7.965198291
259,X16,0,7.147559271
259,X17,0,8.460834458
259,X18,0,8.192570471
259,X19,0,8.624252264
259,X2,0,8.097426299
259,X20,1,8.1285852
259,X21,0,7.80588204
259,X22,0,7.69211334
259,X23,0,8.107418812
259,X24,0,8.582044164
259,X25,1,7.21964204
259,X26,1,7.841099765
259,X27,1,7.559559496
259,X28,0,7.862497197
259,X29,1,7.856706793
259,X3,1,8.301769763
259,X30,1,7.713784617
259,X31,0,7.662467815
259,X32,1,8.289539485
259,X33,1,7.320526962
259,X34,1,7.481555702
259,X35,1,7.377758908
259,X36,0,8.435332165
259,X37,1,7.772331575
259,X38,0,7.95927596
259,X39,1,7.87207398
259,X4,1,7.499423291
259,X40,1,7.020190708
259,X5,1,7.868636894
259,X6,1,8.159088655
259,X7,0,8.152198016
259,X8,0,7.844240718
259,X9,0,7.727975542
260,X1,0,8.778479953
260,X10,0,9.661033753
260,X11,1,8.159088655
260,X12,1,9.093019729
260,X13,0,7.765569081
260,X14,0,8.703340753
260,X15,1,8.467582691
260,X16,0,8.555836815
260,X17,0,9.000853147
260,X18,1,8.055475142
260,X19,1,8.000349495
260,X2,1,8.185628891
260,X20,0,5.860786223
260,X21,0,8.784774592
260,X22,0,8.212297138
260,X23,1,7.11395611
260,X24,0,5.509388337
260,X25,0,8.649974303
260,X26,1,8.116417073
260,X27,0,8.172446818
260,X28,0,7.702556113
260,X29,1,8.210124405
260,X3,1,9.64614068
260,X30,1,7.97074039
260,X31,0,7.128495946
260,X32,0,7.248504072
260,X33,0,8.185907481
260,X34,1,8.415824697
260,X35,1,8.080237416
260,X36,0,7.942717541
260,X37,1,8.102586425
260,X38,0,7.485491608
260,X39,1,6.421622268
260,X4,1,8.105005538
260,X40,1,7.619724214
260,X5,0,7.695303135
260,X6,0,7.981391582
260,X7,0,7.942362238
260,X8,0,8.084870629
260,X9,0,8.14031554
261,X1,1,9.033245134
261,X10,1,8.204671829
261,X11,1,8.460411177
261,X12,0,7.839525582
261,X13,0,8.664405571
261,X14,1,8.020927719
261,X15,1,8.303752416
261,X16,1,7.70210434
261,X17,0,7.704361168
261,X18,0,7.518064181
261,X19,1,8.277920258
261,X2,1,8.317521996
261,X20,1,7.996653875
261,X21,1,7.80016307
261,X22,1,8.469052816
261,X23,1,7.574558484
261,X24,1,7.449498005
261,X25,1,8.246433786
261,X26,1,8.120588712
261,X27,0,8.050703381
261,X28,0,8.329175442
261,X29,0,8.244596756
261,X3,1,8.535229554
261,X30,1,7.463936604
261,X31,0,8.665440768
261,X32,1,7.957877358
261,X33,1,7.479864131
261,X34,1,8.406931797
261,X35,0,7.757478767
261,X36,0,8.815370001
261,X37,0,8.192847135
261,X38,1,8.654691705
261,X39,1,8.24170316
261,X4,1,8.30844552
261,X40,1,7.912789221
261,X5,0,8.422442855
261,X6,0,8.824089483
261,X7,1,7.807510042
261,X8,0,8.683554729
261,X9,1,7.97074039
262,X1,1,9.14729407
262,X10,1,10.43361568
262,X11,1,8.766394277
262,X12,1,9.413036288
262,X13,1,10.38859529
262,X14,0,11.19237579
262,X15,0,11.03447022
262,X16,1,10.89434758
262,X17,1,10.02848892
262,X18,1,9.273690687
262,X19,0,9.322865163
262,X2,1,10.04002692
262,X20,1,9.019542997
262,X21,1,10.2722541
262,X22,1,8.979038633
262,X23,0,9.370331108
262,X24,0,9.701065324
262,X25,0,9.179365568
262,X26,0,9.017604777
262,X27,1,8.996032669
262,X28,1,9.012742728
262,X29,1,9.627865795
262,X3,1,9.281171553
262,X30,0,8.675051276
262,X31,0,10.01104066
262,X32,1,9.61460476
262,X33,1,9.438113192
262,X34,1,10.02672237
262,X35,1,8.957639268
262,X36,0,10.65280238
262,X37,1,9.527119975
262,X38,1,9.391160803
262,X39,0,9.726452
262,X4,1,10.00563792
262,X40,1,9.086929027
262,X5,0,9.086929027
262,X6,1,8.903543436
262,X7,1,9.725197857
262,X8,1,8.958540111
262,X9,1,8.242493153
263,X1,0,8.301025254
263,X10,1,7.266827348
263,X11,0,6.892641641
263,X12,0,8.13005904
263,X13,0,7.140453043
263,X14,0,5.361292166
263,X15,0,8.094073148
263,X16,0,7.532088144
263,X17,0,7.97074039
263,X18,0,7.495541944
263,X19,1,7.832410927
263,X2,1,8.146709052
263,X20,1,6.981005741
263,X21,1,7.611347717
263,X22,0,7.777373603
263,X23,1,6.568077911
263,X24,1,7.781555959
263,X25,1,7.82084088
263,X26,0,6.816735881
263,X27,1,7.760040681
263,X28,0,7.804251384
263,X29,0,7.237778192
263,X3,1,7.444248649
263,X30,1,7.10824414
263,X31,1,7.156956365
263,X32,0,7.160069208
263,X33,1,7.719573989
263,X34,1,6.793466133
263,X35,0,6.849066283
263,X36,0,7.909856667
263,X37,1,7.167037877
263,X38,0,7.749322465
263,X39,0,7.579167967
263,X4,1,7.772331575
263,X40,1,7.252053952
263,X5,0,7.564757013
263,X6,0,7.859799181
263,X7,0,7.811568489
263,X8,0,7.598399329
263,X9,1,7.528869257
264,X1,0,9.0653146
264,X10,1,8.432724035
264,X11,0,10.1650053
264,X12,1,8.576593535
264,X13,0,8.452334619
264,X14,0,8.184234774
264,X15,0,8.649974303
264,X16,0,9.916798567
264,X17,0,8.373784608
264,X18,1,8.660600655
264,X19,1,8.189799619
264,X2,1,8.682368589
264,X20,0,8.02975852
264,X21,1,8.609954671
264,X22,0,8.626226952
264,X23,0,8.603370888
264,X24,1,9.35296777
264,X25,1,10.17618288
264,X26,1,9.587337416
264,X27,1,7.932721027
264,X28,1,8.677098709
264,X29,0,8.872346979
264,X3,0,8.177796683
264,X30,1,8.589513853
264,X31,0,8.182838711
264,X32,1,8.656607247
264,X33,1,8.549466752
264,X34,1,8.668539944
